Report Date,HE (Peak),Total Expected Internal Supply (MW),"Import Capacity from BC,SK and MATL (MW)",AIL Load + Operating Reserves (MW),Surplus (MW)
2023-04-09,18,14192,1053,10433,4812
2023-04-10,18,14192,1053,10565,4680
2023-04-11,17,14137,1103,10776,4464
2023-04-12,17,14137,1103,10760,4480
2023-04-13,17,14192,1103,10758,4537
2023-04-14,12,14192,1103,10734,4561
2023-04-15,18,14192,1053,10314,4931
2023-04-16,18,14192,1053,10359,4886
2023-04-17,17,14192,1103,10774,4521
2023-04-18,17,14147,1103,10730,4520
2023-04-19,17,14147,1103,10716,4534
2023-04-20,17,14192,1103,10713,4582
2023-04-21,12,14192,1053,10662,4583
2023-04-22,18,14192,1053,10234,5011
2023-04-23,18,14192,1053,10275,4970
2023-04-24,17,14192,1053,10698,4547
2023-04-25,17,14147,1053,10641,4559
2023-04-26,17,14147,1053,10620,4580
2023-04-27,17,14192,1053,10609,4636
2023-04-28,12,14192,1053,10562,4683
2023-04-29,18,14197,1053,10115,5135
